,parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period,strctid,x,y,value_matc,geometry
69,,,,W1,,1992,1,,,,,,,,,,30559,,,,,Low - Code,,,,W1,,,116feed3-7928-4864-8d9f-a84f0ff849a2,5700,1,193,0.0,0.0,-14.826966,0.35,41007022416079018S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
70,,,,W1,,1996,1,,,,,,,,,,36390,,,,,Moderate - Code,,,,W1,,,1fc64c40-c2cd-486f-bb22-3b2a0d093182,5699,1,191,0.0,0.0,-0.026324,0.35,41007022712044040S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
71,,,,W1,,1971,1,,,,,,,,,,559,,,,,Pre - Code,,,,W1,,,e02f45c9-5ffb-48d1-98c4-891ea00d3df5,5698,1,191,0.0,0.0,-1.037119,0.35,41007020933038007S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
72,,,,W1,,1976,1,,,,,,,,,,9991,,,,,Low - Code,,,,W1,,,5010a2d7-6fed-4893-b2c2-072675da54aa,5697,1,193,0.0,0.0,-1.037119,0.35,41007020933038034S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
73,,,,W1,,1992,1,,,,,,,,,,30938,,,,,Low - Code,,,,W1,,,f34d3d50-7ec4-4311-9c63-daaf51889bf7,5696,1,191,0.0,0.0,-14.826966,0.35,41007022416079030S,-123.905845642,45.9979476929,0,POINT (-123.9058460072767 45.99794932851639)
74,,,,W1,,1979,1,,,,,,,,,,10474,,,,,Low - Code,,,,W1,,,a3fad8a7-faec-4c17-8d90-962ffd803026,5695,1,193,0.0,0.0,-0.026324,0.35,41007022712044016S,-123.91558075,45.9961471558,0,POINT (-123.9155842594153 45.99614784057414)
75,,,,W1,,1967,1,,,,,,,,,,4398,,,,,Pre - Code,,,,W1,,,2f64c256-5760-4ff6-8be4-8f5b72ca84e3,5694,1,193,0.0,0.0,-1.102866,0.35,41007021185022004S,-123.91015625,46.0112533569,0,POINT (-123.9101583933814 46.01125494608314)
76,,,,W1,,1974,1,,,,,,,,,,5607,,,,,Low - Code,,,,W1,,,4fa0a76a-7755-4a93-91e7-b2dde4055533,5693,1,193,0.0,0.0,-1.037119,0.35,41007020933038021S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
77,,,,W1,,1975,1,,,,,,,,,,13415,,,,,Low - Code,,,,W1,,,37532fb5-5107-478b-ab2c-158eb001c68b,5692,1,192,0.0,0.0,-9.132547,0.35,41007020864002001S,-123.903427124,46.0174980164,0,POINT (-123.9034265041881 46.01749849919388)
78,,,,W1,,1998,1,,,,,,,,,,34349,,,,,Moderate - Code,,,,W1,,,0ed927c4-b960-4b09-9cac-435a407805a4,5691,1,191,0.0,0.0,-1.037119,0.35,41007020933038033S,-123.908996582,46.0143356323,0,POINT (-123.9089960881224 46.01433439263687)
