parid,parid_card,bldg_id,struct_typ,str_prob,year_built,no_stories,a_stories,b_stories,bsmt_type,sq_foot,gsq_foot,occ_type,occ_detail,major_occ,broad_occ,appr_bldg,repl_cst,str_cst,nstra_cst,nstrd_cst,dgn_lvl,cont_val,efacility,dwell_unit,str_typ2,occ_typ2,tract_id,guid,FID_NEW,origin,stat_class,rmv_improv,rmv_land,elev,period
,,,W1,,"1968","1",,,,,,,,,,"4454",,,,,Pre - Code,,,,W1,,,3ae2a39b-f04a-4654-8d64-672205c5007d,"5764","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1981","1",,,,,,,,,,"6828",,,,,Low - Code,,,,W1,,,ed2894f9-e44b-4ff0-acfb-b05b1367702c,"5763","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1975","1",,,,,,,,,,"2314",,,,,Low - Code,,,,W1,,,b2873126-ea18-4a3b-99d8-ad908f80ef8d,"5762","1","191",0.000000000000000,0.000000000000000,-1.102866000000000,0.350000000000000
,,,W1,,"1990","1",,,,,,,,,,"16951",,,,,Low - Code,,,,W1,,,afa1ef2f-7bbe-41ae-95b4-3c5873a58f99,"5761","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1971","1",,,,,,,,,,"3737",,,,,Pre - Code,,,,W1,,,113a852a-6876-4931-81f0-5158f0c70d14,"5760","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1968","1",,,,,,,,,,"2517",,,,,Pre - Code,,,,W1,,,9d304a7c-e3f2-491d-ab32-0a8ec91a8e30,"5759","1","193",0.000000000000000,0.000000000000000,0.232739000000000,0.350000000000000
,,,W1,,"1972","1",,,,,,,,,,"15444",,,,,Pre - Code,,,,W1,,,4ac0a784-57a8-4437-a8ec-c0fefb85012e,"5758","1","191",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,RC,,"1945","1",,,,,,,,,,"716337",,,,,Pre - Code,,,,RC,,,25bc3a48-29df-4335-ac04-3e186976490c,"5757","1","494",716337.000000000000000,0.000000000000000,-1.485903000000000,0.400000000000000
,,,W1,,"1995","1",,,,,,,,,,"43186",,,,,Moderate - Code,,,,W1,,,3982d6c7-d2a6-48cf-ac99-de1dd8b42864,"5756","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1977","1",,,,,,,,,,"9113",,,,,Low - Code,,,,W1,,,da7413ba-bc45-46a7-9516-9bc314d5604b,"5755","1","193",0.000000000000000,0.000000000000000,-1.037119000000000,0.350000000000000
,,,W1,,"1995","1",,,,,,,,,,"40881",,,,,Moderate - Code,,,,W1,,,a436c038-22b1-4339-920b-cf430b4cf2e4,"5754","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1993","1",,,,,,,,,,"36728",,,,,Moderate - Code,,,,W1,,,22aa85a2-af0c-436c-9f60-e4ff7254ec6f,"5753","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1993","1",,,,,,,,,,"15867",,,,,Moderate - Code,,,,W1,,,919c4386-34ce-431d-ad36-ebad80c126d2,"5752","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1995","1",,,,,,,,,,"78608",,,,,Moderate - Code,,,,W1,,,c9bb8034-b154-4950-8361-252628a6dcc9,"5750","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"40037",,,,,Low - Code,,,,W1,,,1d96de99-2ee5-4756-bdba-322a6f705154,"5749","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"19485",,,,,Low - Code,,,,W1,,,7c6bc4b6-d2ae-4eee-966c-da7692f14c22,"5748","1","191",0.000000000000000,0.000000000000000,-0.026324000000000,0.350000000000000
,,,W1,,"1992","1",,,,,,,,,,"57904",,,,,Low - Code,,,,W1,,,6a6c5517-5860-44f7-8b7b-c62c1fe7c2a3,"5747","1","193",0.000000000000000,0.000000000000000,-14.826966000000001,0.350000000000000
,,,W1,,"1975","1",,,,,,,,,,"85401",,,,,Low - Code,,,,W1,,,a0821314-04d0-4c93-aee7-de7b199cfafa,"5746","1","192",1339.000000000000000,84062.000000000000000,-0.032043000000000,0.350000000000000
